Name of Monitoring Station,Year,Sampling Month,pH,BOD (mg/L),COD (mg/L),Total Dissolved Solids,Total Coliform (MPN/100),Latitude,Longitude
"Parappana Agrahara Chikka Kere, Near Central Jail, Sai Sree Layout Parappana",2025,October,6.7,18.0,152.0,532.0,2800.0,13.188114,77.472549
"Vittasandra Lake, Vittasandra,",2025,October,7.2,6.0,64.0,474.0,2800.0,12.85804363,77.62274884
"Akshyanagara Lake, Akshyanagara West, Bengaluru",2025,October,7.5,5.0,49.0,536.0,2800.0,12.87179,77.614335
"Yallenahalli Lake, Begur-Koppa Rd, Akshayanagara, Bengaluru",2025,October,7.5,5.0,53.0,362.0,2100.0,12.890972,77.385038
Doddagubbi Lake,2025,October,7.8,40.0,224.0,2096.0,21000.0,13.0744063,77.67245104
Chikkagubi Lake,2025,October,8.1,57.0,256.0,3798.0,3500.0,13.07683052,77.673996
Vijanapura Lake,2025,October,8.0,4.0,52.0,344.0,3500.0,13.00925,77.676796
Cheemasandra,2025,October,6.6,6.0,72.0,788.0,5400.0,13.06569,77.723786
Leghumenahalli Lake,2025,October,6.9,20.0,184.0,520.0,13000.0,13.01979254,77.46222486
Varanasi Lake,2025,October,6.9,5.0,56.0,306.0,1700.0,13.026885,77.68704005
Gangashetty Lake,2025,October,6.8,27.0,192.0,576.0,3500.0,13.01873035,77.69881133
Panathur Lake,2025,October,7.2,7.0,68.0,314.0,2100.0,12.9321787,77.70710816
Garudacharpalya Lake-2,2025,October,6.5,29.0,168.0,348.0,15000.0,12.990651,77.69604
Mahadevapura Lake-2,2025,October,8.3,4.0,48.0,276.0,1400.0,12.987222,77.69263918
B- Narayannapura Lake-2,2025,October,8.1,6.0,56.0,2080.0,2100.0,12.996508,77.6827584
Halnayakanahalli Lake,2025,October,7.1,4.0,44.0,344.0,1700.0,12.89981,77.691348
Ulsoor Lake Training Centre Of Fish Breeding,2025,November,8.5,8.0,88.0,296.0,49.0,12.9825,77.6191
Madiwala Tank,2025,November,6.5,6.0,56.0,258.0,2800.0,12.9734,77.3444
Lalbagh Tank,2025,November,7.7,4.0,40.0,338.0,1700.0,12.9069,77.6161
Kempambudhi Tank,2025,November,7.2,30.0,144.0,334.0,7000.0,12.9507,77.5844
Yediyur Tank,2025,November,7.2,4.0,48.0,192.0,2400.0,12.9575,77.5645
Ulsoor Lake Temple,2025,November,8.5,8.0,96.0,288.0,1300.0,12.9288,77.5794
Sankey Tank,2025,November,7.4,5.0,52.0,484.0,79000.0,12.982,77.621
Byrasandra Tank,2025,November,7.8,7.0,80.0,326.0,3500.0,13.0064,77.5755
Nayandanahalli Tank,2025,November,7.8,4.0,44.0,462.0,2800.0,13.1162,77.5759
Hesaraghatta Lake,2025,November,8.2,4.0,48.0,406.0,2200.0,13.0415,77.6152
Herohalli Tank,2025,November,6.5,5.0,60.0,302.0,3500.0,13.1368,77.4851
Anchepalya Lake,2025,November,6.7,4.0,44.0,566.0,9400.0,13.0012,77.4842
Shivapura Tank,2025,November,6.7,17.0,128.0,370.0,3500.0,13.0456,77.4828
Karihobanahalli Lake,2025,November,6.8,19.0,136.0,620.0,11000.0,13.0294,77.5147
Bellandur Lake,2025,November,7.4,30.0,232.0,634.0,1500.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2025,November,7.5,23.0,156.0,796.0,1700.0,13.01632597,77.6999225
Doddanekkundi Lake,2025,November,7.2,6.0,56.0,292.0,170.0,13.0062,77.6811
Yelemallappa Shetty Lake,2025,November,7.0,17.0,128.0,924.0,3500.0,12.9714,77.6953
Dasarahalli Tank,2025,November,7.0,21.0,132.0,280.0,2800.0,13.0232,77.7288
Kalkere Tank,2025,November,8.2,8.0,96.0,544.0,11000.0,13.0435,77.5141
Varthur Lake,2025,November,7.3,4.0,44.0,462.0,4300.0,13.0287,77.6685
Ibbalur Lake,2025,November,7.4,4.0,48.0,408.0,9400.0,12.922,77.666
Tubarahalli Tank,2025,November,7.1,28.0,180.0,702.0,5400.0,12.958187,77.725785
Kaikondanahalli Lake,2025,November,8.1,8.0,80.0,644.0,1700.0,12.91627,77.737065
Agaram Lake,2025,November,7.9,4.0,56.0,612.0,5400.0,12.921,77.641
Gottigere Lake,2025,November,6.7,4.0,44.0,240.0,2800.0,12.8552,77.5878
Puttenahalli Lake,2025,November,6.9,5.0,48.0,254.0,9200.0,12.8985,77.5849
Puttenahalli Lake,2025,November,6.9,5.0,48.0,254.0,9200.0,12.89072263,77.5871604
Arakere Lake,2025,November,6.8,5.0,56.0,220.0,9400.0,12.8765,77.5991
Kalena Agrahara Lake,2025,November,6.9,4.0,40.0,252.0,2400.0,12.8624,77.5956
Hulimavu Lake,2025,November,7.6,6.0,64.0,484.0,2800.0,12.8775,77.5912
Singasandra Lake,2025,November,8.0,8.0,84.0,586.0,4300.0,12.8872,77.6493
Begur Tank,2025,November,7.1,6.0,60.0,224.0,3500.0,12.8814,77.6325
Parappana Agrahara Lake,2025,November,7.9,4.0,48.0,462.0,9200.0,12.8879,77.6591
Haralur Lake,2025,November,7.3,26.0,188.0,632.0,110000.0,12.89829,77.66142
Somasundrapalya Lake,2025,November,8.0,5.0,56.0,460.0,3500.0,12.89872064,77.64800365
Anekal Doddakere Tank,2025,November,6.8,28.0,196.0,1012.0,13000.0,12.87466479,77.78340625
Puttenahalli Lake,2025,November,6.6,7.0,88.0,622.0,4300.0,12.8985,77.5849
Puttenahalli Lake,2025,November,6.6,7.0,88.0,622.0,4300.0,12.89072263,77.5871604
Hebbal Lake,2025,November,6.8,19.0,128.0,330.0,12000.0,13.04697661,77.58600905
Nagavara Lake,2025,November,7.0,5.0,48.0,302.0,9400.0,13.0449046,77.60895858
Jakkur Lake,2025,November,7.0,25.0,168.0,686.0,17000.0,13.08770697,77.61004718
Amruthahalli Lake,2025,November,6.6,12.0,152.0,832.0,11000.0,13.06138758,77.5987903
Allalasandra Lake,2025,November,7.0,25.0,168.0,688.0,13000.0,13.09078569,77.58580537
Yelahanka Tank,2025,November,7.0,23.0,164.0,684.0,11000.0,13.0901,77.5925
Subramanyapura Tank,2025,November,6.8,5.0,52.0,358.0,7900.0,12.89668663,77.54331633
Devarakere Tank,2025,November,6.5,5.0,52.0,272.0,9400.0,12.89808367,77.5543472
Malathahalli Lake,2025,November,7.7,4.0,48.0,406.0,2800.0,12.96467512,77.49507669
Hoskere Lake,2025,November,7.2,16.0,120.0,264.0,9400.0,12.92672778,77.48054898
Yelachenahalli Lake,2025,November,7.4,6.0,72.0,382.0,2800.0,12.89926437,77.56547215
Kengeri Tank,2025,November,7.0,5.0,56.0,342.0,4300.0,12.91685922,77.48789417
Uttarahalli Doraikere,2025,November,6.6,8.0,96.0,278.0,5400.0,12.90305626,77.55084832
Dhorekere Tank,2025,November,6.7,6.0,60.0,312.0,9200.0,12.93017436,77.494945
Jigani Tank,2025,November,6.8,6.0,64.0,528.0,5400.0,12.79585704,77.63284772
Benniganahalli Lake,2025,November,7.1,4.0,48.0,276.0,1700.0,12.99772381,77.66545556
Mathikere Tank,2025,November,7.4,7.0,68.0,198.0,13000.0,13.00974799,77.5736474
Gangondanahalli Lake,2025,November,7.2,9.0,96.0,664.0,13000.0,12.99954081,77.4646815
Chikkabanavara Lake,2025,November,6.6,5.0,60.0,670.0,3500.0,13.08356016,77.50682992
Andhrahalli Lake,2025,November,6.8,63.0,312.0,376.0,7900.0,13.01026314,77.48646759
Kachohalli Lake,2025,November,6.7,58.0,216.0,1118.0,2400.0,13.01365684,77.45596987
Sarakki Lake,2025,November,7.6,4.0,56.0,468.0,4300.0,12.89941681,77.57913342
Nelamangala Lake,2025,November,7.0,14.0,128.0,824.0,1700.0,13.08073442,77.40002615
Abbigere Lake,2025,November,7.0,6.0,76.0,428.0,4300.0,13.0791175,77.52872073
Chelekere Lake,2025,November,6.9,4.0,44.0,346.0,7900.0,13.02641201,77.6449817
Singapura Lake,2025,November,7.0,4.0,44.0,418.0,4600.0,13.08266187,77.53568704
Narasipura Lake,2025,November,7.2,4.0,48.0,360.0,2800.0,13.07260237,77.55884035
Rachenahalli Lake,2025,November,6.8,40.0,272.0,730.0,7000.0,13.06365337,77.61270948
Kogilu Kere,2025,November,7.0,6.0,76.0,390.0,3500.0,13.11015107,77.61852742
Viswaneedam Lake,2025,November,7.2,26.0,176.0,664.0,5400.0,12.98884671,77.49016012
Ramammana Kere,2025,November,6.9,5.0,56.0,474.0,7000.0,12.96089629,77.22799123
Sadaramangala Lake,2025,November,7.0,38.0,200.0,726.0,3500.0,12.99966199,77.72775764
Bhattarahalli Lake,2025,November,7.3,21.0,140.0,520.0,2400.0,13.02479566,77.7086534
Kundalahalli Lake,2025,November,7.3,15.0,156.0,784.0,2400.0,12.96854049,77.72057586
Kowdhenahalli Tank,2025,November,7.5,22.0,140.0,504.0,5400.0,13.02076247,77.67591701
Garudacharpalya Tank,2025,November,7.2,36.0,196.0,732.0,12000.0,12.99262062,77.69630153
Rampura Lake,2025,November,7.2,26.0,184.0,842.0,9400.0,13.04831239,77.69012069
Chinnappanahalli Lake,2025,November,7.3,18.0,168.0,834.0,11000.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2025,November,7.2,7.0,76.0,402.0,2400.0,12.9231047,77.68715487
Vibhuthipura Lake,2025,November,8.4,16.0,112.0,348.0,170.0,12.9683535,77.67578051
Nallurahalli Lake,2025,November,7.3,22.0,160.0,346.0,2200.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2025,November,7.1,10.0,104.0,360.0,5400.0,12.97655779,77.74570003
Seetharampalya Lake,2025,November,7.3,11.0,116.0,356.0,4300.0,12.98248112,77.71330594
Devasandra Lake,2025,November,7.3,8.0,88.0,300.0,3500.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2025,November,7.0,18.0,132.0,354.0,7900.0,12.96463102,77.74265937
Doddakannehalli Lake,2025,November,8.0,5.0,48.0,564.0,3500.0,12.91183624,77.6928301
Kasavanahalli Lake,2025,November,7.9,4.0,40.0,470.0,2100.0,12.90544792,77.66897823
Rayasandra Lake,2025,November,7.4,32.0,168.0,1080.0,9400.0,12.87037689,77.6779843
Chandapura Lake,2025,November,6.9,27.0,192.0,842.0,4300.0,12.80573568,77.70537996
Ullalu Lake,2025,November,7.2,5.0,64.0,168.0,46000.0,12.9609124,77.4804805
Sompura Lake,2025,November,7.3,5.0,52.0,304.0,2400.0,12.87447508,77.49860778
Gubbalal Lake,2025,November,6.6,5.0,48.0,228.0,3500.0,12.88094395,77.54067908
Hosakerehalli Lake,2025,November,6.5,6.0,60.0,342.0,9200.0,12.92636311,77.53384359
Chinnakurchi Kere,2025,November,7.0,4.0,52.0,330.0,2800.0,12.82129367,77.46615876
Machohalli Lake,2025,November,7.0,42.0,192.0,1420.0,70000.0,13.01318643,77.4546073
Doddabidarakallu Lake,2025,November,6.6,5.0,56.0,696.0,2800.0,13.04339075,77.49562264
Kammagondanahalli Lake,2025,November,7.0,40.0,272.0,408.0,7900.0,13.06872462,77.52323601
Alur Lake,2025,November,8.0,4.0,52.0,528.0,2400.0,13.09743325,77.45848496
Basavanapura Lake,2025,November,6.8,6.0,60.0,224.0,4300.0,12.84453538,77.58927218
Kodi Singasandra Lake,2025,November,7.0,5.0,52.0,222.0,4300.0,12.88226483,77.6455833
Kothanuru Lake,2025,November,7.3,5.0,48.0,222.0,3500.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2025,November,7.9,6.0,60.0,464.0,1700.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2025,November,7.2,21.0,152.0,1098.0,4300.0,12.96824687,77.46185005
"Hoodi (Rajapalya Lake) Itpl Main Road, Near",2025,November,7.1,34.0,192.0,768.0,9400.0,12.98691787,77.72293635
"Munekolalu Lake
,Marathahalli, East Taluka",2025,November,7.2,20.0,176.0,846.0,13000.0,12.961,77.7
"Mahadevapura Lake, K. R. Puram , Bangalore East Taluka",2025,November,7.1,12.0,136.0,798.0,2100.0,12.987,77.692
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore",2025,November,7.4,18.0,120.0,584.0,2800.0,13.01009418,77.71324186
"Kannamangala Lake Hoskote Main Road , Bengalore",2025,November,8.1,5.0,52.0,304.0,54000.0,13.02935241,77.77426959
Kannur Lake Near By Hennur Road Bengalore,2025,November,8.2,20.0,148.0,936.0,8400.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram",2025,November,7.2,26.0,152.0,612.0,13000.0,13.0099972,77.71289806
"Doddakallasandra Lake,Bengaluru",2025,November,7.0,6.0,60.0,254.0,5400.0,12.88228955,77.56127506
"Ulsoor Lake Near Kalyani,Bengaluru",2025,November,8.5,8.0,96.0,292.0,140.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2025,November,7.5,5.0,64.0,312.0,1100.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2025,November,7.3,5.0,64.0,402.0,2400.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2025,November,7.3,25.0,180.0,544.0,9200.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru",2025,November,7.4,21.0,168.0,630.0,3500.0,12.89682592,77.6551178
"Doddathogur Lake , Doddathoguru Vill,Bengaluru",2025,November,7.8,4.0,48.0,452.0,5400.0,12.85689657,77.65979422
"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",2025,November,6.7,6.0,60.0,212.0,2400.0,12.86550272,77.56632056
"Chunchaghatta Lake, Chunchaghatta Phase 7, J P",2025,November,6.9,6.0,64.0,256.0,3500.0,12.88841051,77.57527312
"Kembhatahali Lake-66, Kothannur, 1St Phase ,",2025,November,7.0,4.0,48.0,228.0,3500.0,12.86077477,77.57798836
"Doddakammanahalli Lake, Doddakammanahalli Phase2,",2025,November,6.6,5.0,52.0,212.0,4300.0,12.85555251,77.60368484
"Basspura Lake, Aishwarya Crystal Layout, Begur,",2025,November,8.2,5.0,56.0,562.0,1500.0,12.86902079,77.64344117
"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr",2025,November,7.8,5.0,52.0,458.0,2400.0,12.91755998,77.66502143
"Bhoganhalli Lake, Bhoganhalli,, Bengaluru",2025,November,7.6,6.0,68.0,466.0,2200.0,12.92297445,77.69935186
"Parappana Agrahara Chikka Kere, Near Central Jail, Sai",2025,November,7.8,15.0,144.0,640.0,4300.0,12.87822357,77.66120617
"Vittasandra Lake, Vittasandra,",2025,November,8.0,4.0,44.0,420.0,1400.0,12.85804363,77.62274884
"Akshyanagara Lake, Akshyanagara West, Bengaluru",2025,November,6.8,6.0,60.0,214.0,2200.0,12.87179,77.614335
"Yallenahalli Lake, Begur- Koppa Rd, Akshayanagara,",2025,November,6.9,6.0,64.0,254.0,2800.0,12.8880334,77.61625938
Doddagubbi Lake,2025,November,8.2,16.0,120.0,2172.0,6300.0,13.0744063,77.67245104
Chikkagubi Lake,2025,November,8.2,8.0,92.0,1490.0,5800.0,13.07683052,77.673996
Vijanapura Lake,2025,November,7.1,5.0,52.0,484.0,2200.0,13.00925,77.676796
Cheemasandra,2025,November,8.1,5.0,48.0,266.0,3500.0,13.06569,77.723786
Leghumenahalli Lake,2025,November,8.2,6.0,60.0,304.0,92000.0,13.01979254,77.46222486
Varanasi Lake,2025,November,7.7,5.0,52.0,306.0,2100.0,13.026885,77.68704005
Gangashetty Lake,2025,November,7.1,22.0,144.0,506.0,4300.0,13.01873035,77.69881133
Panathur Lake,2025,November,7.0,19.0,128.0,334.0,4300.0,12.9321787,77.70710816
Garudacharpalya Lake-2,2025,November,7.1,25.0,168.0,710.0,2400.0,12.990651,77.69604
Mahadevapura Lake-2,2025,November,7.0,29.0,188.0,674.0,2800.0,12.987222,77.69263918
B- Narayannapura Lake-2,2025,November,6.9,27.0,184.0,660.0,9400.0,12.996508,77.6827584
Halnayakanahalli Lake,2025,November,6.5,29.0,188.0,664.0,2200.0,12.89981,77.691348
Ulsoor Lake Training Centre Of Fish Breeding,2025,August,7.9,22.0,160.0,632.0,9400.0,12.9825,77.6191
Madiwala Tank,2025,August,7.4,7.0,80.0,336.0,3500.0,12.9734,77.3444
Lalbagh Tank,2025,August,7.3,56.0,364.0,560.0,2400.0,12.9069,77.6161
Kempambudhi Tank,2025,August,7.3,5.0,56.0,296.0,2800.0,12.9507,77.5844
Yediyur Tank,2025,August,8.0,6.0,76.0,180.0,4300.0,12.9575,77.5645
Ulsoor Lake Temple,2025,August,8.0,16.0,120.0,628.0,7900.0,12.9288,77.5794
Sankey Tank,2025,August,7.4,12.0,136.0,420.0,4300.0,12.982,77.621
Byrasandra Tank,2025,August,7.2,57.0,272.0,824.0,4300.0,13.0064,77.5755
Nayandanahalli Tank,2025,August,8.5,8.0,92.0,558.0,1600.0,13.1162,77.5759
Hesaraghatta Lake,2025,August,7.2,4.0,40.0,206.0,2200.0,13.0415,77.6152
Herohalli Tank,2025,August,6.9,16.0,112.0,446.0,4300.0,13.1368,77.4851
Anchepalya Lake,2025,August,7.7,8.0,81.0,800.0,3500.0,13.0012,77.4842
Shivapura Tank,2025,August,7.1,6.0,64.0,450.0,2400.0,13.0456,77.4828
Karihobanahalli Lake,2025,August,7.5,16.0,120.0,952.0,1400.0,13.0294,77.5147
Bellandur Lake,2025,August,8.4,7.0,72.0,600.0,1500.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2025,August,7.0,26.0,204.0,584.0,2800.0,13.01632597,77.6999225
Doddanekkundi Lake,2025,August,7.8,6.0,72.0,412.0,13000.0,13.0062,77.6811
Yelemallappa Shetty Lake,2025,August,6.5,36.0,212.0,260.0,11000.0,12.9714,77.6953
Dasarahalli Tank,2025,August,6.8,7.0,78.0,346.0,4300.0,13.0232,77.7288
Kalkere Tank,2025,August,7.4,23.0,166.0,680.0,3500.0,13.0435,77.5141
Varthur Lake,2025,August,7.5,4.0,56.0,674.0,920.0,13.0287,77.6685
Ibbalur Lake,2025,August,8.5,6.0,66.0,630.0,2100.0,12.922,77.666
Tubarahalli Tank,2025,August,7.4,5.0,48.0,666.0,1600.0,12.958187,77.725785
Kaikondanahalli Lake,2025,August,7.8,6.0,68.0,576.0,920.0,12.91627,77.737065
Agaram Lake,2025,August,8.4,6.0,60.0,630.0,240.0,12.921,77.641
Gottigere Lake,2025,August,6.8,23.0,136.0,550.0,7000.0,12.8552,77.5878
Puttenahalli Lake,2025,August,6.7,22.0,144.0,400.0,1700.0,12.8985,77.5849
Puttenahalli Lake,2025,August,6.7,22.0,144.0,400.0,1700.0,12.89072263,77.5871604
Arakere Lake,2025,August,7.5,4.0,36.0,332.0,2400.0,12.8765,77.5991
Kalena Agrahara Lake,2025,August,7.3,6.0,72.0,416.0,2800.0,12.8624,77.5956
Hulimavu Lake,2025,August,8.1,4.0,48.0,686.0,2200.0,12.8775,77.5912
Singasandra Lake,2025,August,7.5,7.0,68.0,598.0,2400.0,12.8872,77.6493
Begur Tank,2025,August,8.3,6.0,64.0,688.0,2400.0,12.8814,77.6325
Parappana Agrahara Lake,2025,August,7.7,8.0,80.0,1110.0,2800.0,12.8879,77.6591
Haralur Lake,2025,August,8.0,6.0,72.0,1110.0,2800.0,12.89829,77.66142
Somasundrapalya Lake,2025,August,7.5,4.0,44.0,706.0,3500.0,12.89872064,77.64800365
Anekal Doddakere Tank,2025,August,7.7,21.0,148.0,926.0,3500.0,12.87466479,77.78340625
Hebbal Lake,2025,August,7.1,5.0,56.0,236.0,3500.0,13.04697661,77.58600905
Allalasandra Lake,2025,August,8.5,7.0,76.0,264.0,2800.0,13.09078569,77.58580537
Yelahanka Tank,2025,August,7.7,6.0,64.0,446.0,1700.0,13.0901,77.5925
Subramanyapura Tank,2025,August,6.5,49.0,220.0,790.0,14000.0,12.89668663,77.54331633
Devarakere Tank,2025,August,7.0,8.0,80.0,316.0,9400.0,12.89808367,77.5543472
Malathahalli Lake,2025,August,7.5,9.0,100.0,394.0,2200.0,12.96467512,77.49507669
Hoskere Lake,2025,August,8.0,22.0,156.0,234.0,4300.0,12.92672778,77.48054898
Yelachenahalli Lake,2025,August,7.0,9.0,88.0,342.0,3500.0,12.89926437,77.56547215
Kengeri Tank,2025,August,7.6,23.0,156.0,534.0,4300.0,12.91685922,77.48789417
Uttarahalli Doraikere,2025,August,8.1,7.0,72.0,240.0,5400.0,12.90305626,77.55084832
Dhorekere Tank,2025,August,6.6,38.0,192.0,220.0,13000.0,12.93017436,77.494945
Jigani Tank,2025,August,7.7,8.0,96.0,638.0,2800.0,12.79585704,77.63284772
Benniganahalli Lake,2025,August,7.6,4.0,44.0,342.0,2800.0,12.99772381,77.66545556
Mathikere Tank,2025,August,6.8,12.0,124.0,200.0,9400.0,13.00974799,77.5736474
Gangondanahalli Lake,2025,August,7.7,5.0,56.0,798.0,2200.0,12.99954081,77.4646815
Chikkabanavara Lake,2025,August,7.3,4.0,44.0,290.0,1700.0,13.08356016,77.50682992
Andhrahalli Lake,2025,August,7.2,18.0,116.0,820.0,46000.0,13.01026314,77.48646759
Kachohalli Lake,2025,August,7.5,21.0,144.0,1022.0,49000.0,13.01365684,77.45596987
Sarakki Lake,2025,August,7.4,4.0,48.0,572.0,2400.0,12.89941681,77.57913342
Nelamangala Lake,2025,August,6.5,20.0,164.0,1114.0,2200.0,13.08073442,77.40002615
Abbigere Lake,2025,August,7.7,5.0,48.0,396.0,1500.0,13.0791175,77.52872073
Viswaneedam Lake,2025,August,7.0,18.0,120.0,1202.0,9400.0,12.98884671,77.49016012
Ramammana Kere,2025,August,7.5,14.0,112.0,960.0,3500.0,12.96089629,77.22799123
Sadaramangala Lake,2025,August,8.2,5.0,60.0,350.0,14000.0,12.99966199,77.72775764
Bhattarahalli Lake,2025,August,7.5,7.0,76.0,552.0,2400.0,13.02479566,77.7086534
Kundalahalli Lake,2025,August,8.1,48.0,248.0,1200.0,2200.0,12.96854049,77.72057586
Kowdhenahalli Tank,2025,August,7.1,21.0,192.0,436.0,9400.0,13.02076247,77.67591701
Garudacharpalya Tank,2025,August,8.2,4.0,40.0,190.0,8400.0,12.99262062,77.69630153
Rampura Lake,2025,August,7.3,17.0,131.0,580.0,5400.0,13.04831239,77.69012069
Chinnappanahalli Lake,2025,August,7.4,27.0,196.0,568.0,17000.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2025,August,7.9,5.0,52.0,650.0,1600.0,12.9231047,77.68715487
Vibhuthipura Lake,2025,August,8.2,8.0,92.0,342.0,9400.0,12.9683535,77.67578051
Nallurahalli Lake,2025,August,8.5,20.0,128.0,336.0,17000.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2025,August,7.4,6.0,72.0,434.0,12000.0,12.97655779,77.74570003
Seetharampalya Lake,2025,August,7.4,22.0,144.0,800.0,79000.0,12.98248112,77.71330594
Devasandra Lake,2025,August,7.2,6.0,68.0,400.0,4500.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2025,August,8.2,9.0,96.0,346.0,2100.0,12.96463102,77.74265937
Doddakannehalli Lake,2025,August,7.8,8.0,88.0,1080.0,1700.0,12.91183624,77.6928301
Kasavanahalli Lake,2025,August,7.8,4.0,40.0,680.0,540.0,12.90544792,77.66897823
Kammasandra Lake,2025,August,7.5,6.0,72.0,452.0,4300.0,12.944153,77.57021
Rayasandra Lake,2025,August,7.6,26.0,196.0,1438.0,11000.0,12.87037689,77.6779843
Chandapura Lake,2025,August,7.4,29.0,216.0,872.0,22000.0,12.80573568,77.70537996
Ullalu Lake,2025,August,8.0,8.0,96.0,142.0,2400.0,12.9609124,77.4804805
Sompura Lake,2025,August,7.8,7.0,92.0,514.0,2800.0,12.87447508,77.49860778
Gubbalal Lake,2025,August,6.5,5.0,62.0,236.0,4300.0,12.88094395,77.54067908
Hosakerehalli Lake,2025,August,6.5,34.0,168.0,320.0,11000.0,12.92636311,77.53384359
Chinnakurchi Kere,2025,August,7.6,5.0,80.0,244.0,3500.0,12.82129367,77.46615876
Machohalli Lake,2025,August,7.4,23.0,144.0,1196.0,3500.0,13.01318643,77.4546073
Doddabidarakallu Lake,2025,August,6.7,5.0,58.0,230.0,2800.0,13.04339075,77.49562264
Kammagondanahalli Lake,2025,August,7.0,5.0,52.0,186.0,2100.0,13.06872462,77.52323601
Alur Lake,2025,August,7.3,5.0,64.0,136.0,3500.0,13.09743325,77.45848496
Basavanapura Lake,2025,August,6.8,20.0,156.0,560.0,2200.0,12.84453538,77.58927218
Kodi Singasandra Lake,2025,August,7.1,6.0,72.0,454.0,2800.0,12.88226483,77.6455833
Kothanuru Lake,2025,August,6.8,20.0,132.0,420.0,2800.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2025,August,7.1,7.0,68.0,464.0,1500.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2025,August,7.2,20.0,124.0,1220.0,7900.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",2025,August,7.0,5.0,52.0,350.0,2200.0,13.058,77.518
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2025,August,7.2,6.0,72.0,646.0,2800.0,12.987,77.737
"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru",2025,August,8.2,7.0,68.0,450.0,8400.0,12.862279,77.593078
"Mahadevpuraã¢  Lake, K. R. Puram , Bangalore East Taluka",2025,August,8.2,4.0,44.0,332.0,9400.0,12.973163,77.344539
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2025,August,7.1,16.0,168.0,788.0,70000.0,13.122446,77.390951
"Kannamangala Lake Hoskote Main Road , Bengalore",2025,August,6.7,38.0,224.0,636.0,7900.0,13.02935241,77.77426959
Kannur Lake Near By Hennur Road Bengalore,2025,August,7.7,23.0,164.0,1460.0,11000.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",2025,August,6.9,4.0,48.0,314.0,3500.0,12.820551,77.303618
"Doddakallasandra Lake,Bengaluru",2025,August,7.4,4.0,48.0,492.0,210.0,12.88228955,77.56127506
"Ulsoor Lake Near Kalyani,Bengaluru",2025,August,7.9,20.0,152.0,630.0,3500.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2025,August,7.7,18.0,156.0,632.0,2800.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2025,August,7.6,8.0,92.0,580.0,3500.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2025,August,7.9,8.0,92.0,1100.0,2800.0,12.88376503,77.66439049
